MC,TP
PLASMA,0
ZELLE,0
CPT,0
CITRAT,0
HEPARI,0
PSIZE,0
ZSIZE,0
VERARB,0
ZENTRA,0
ZENTRL,0
MATD,0
DATE,0
DATE1,0
DATE2,0
KT,0
HOLD,0
A00AA,74
A00BDB,7
A01AA,81
A01AB,24
A01BDA,29
A01BG,29
A01DK,195
A01EK,195
ADDNAI,0
C19AA,81
C19AB,24
C19BDA,29
C19BDJ,50
C19DK,180
C19EK,180
C19EK0,180
CMDNAI,0
C19OSD,25
C19PSD,0
CMIGGI,0
C19OSC,25
C19PSC,0
C19INT,0
C19OSE,15.2
C19OQS,33
C19QS,0
C19ORS,25
C19RS,0
C19RTO,25
C19RT,25
E08AA,81
E08AB,24
E08BDA,29
E08BH,150
E08FK,180
E12DK,180
E12EK,180
E12EK0,180
EPDNAI,0
E12OR,29
E12RSO,33
E12RS,33
E12OSO,29
E12OS,29
F01OS,29
F01RS,33
H02AA,81
H04BDA,29
H05BDA,29
H04DK,180
H05DK,180
H04EK,180
HSV1QI,0
H05EK,180
HSV2QI,0
H03PS,0
H03PSO,42
H03PSR,42
HS12GI,0
HS12GL,29
H03OS,42
H03RR,33
H04PS,42
HSV1GI,0
H05PS,42
HSV2GI,0
H06OSD,20
H06USD,0
HAP24B,35
H06OSC,0
H06USC,0
H06OBD,47
H06UBD,66
VIP24I,0
H07OU,66
H08OU,66
H07OU1,0
H07OU2,0
H07OU3,0
H07OU4,0
H07OU5,0
H07OU6,0
H07OU7,0
H07BE,47
H1PQI,0
H07FF,53
H1PQDI,0
H07FK,200
H07GKN,180
H1RQ1I,0
H07GOO,180
H07GLO,180
H07GKO,0
H07GIO,0
H07GKM,180
H1RQ2I,0
H07GOA,180
H07GKA,0
H07GIA,0
H07GKK,180
H1RMI,0
H07GKL,180
H1ROI,0
H07DK,180
H07DKK,180
H07DKL,180
H07DN,360
H08DK,180
H08DN,180
H08FKM,180
H08GKM,180
H2RQNI,0
H09JM,180
H09PEI,0
H09BER,0
H07AC,74
H08AC,74
H07HLN,610
H07HLO,610
H07HLP,610
H07HLQ,610
H08HLM,610
H11OU,66
H12OU,66
H11OU1,0
H11OU2,0
H11OU3,0
H11OU4,0
H11OU5,0
H11OU6,0
H11OU7,0
H11DK,180
H11EK,180
HT1DQI,0
H12DK,180
H12EK,180
HT2DQI,0
H11AC,74
H12AC,74
H15DK,180
H16DK,0
H14OR,29
H14RR,33
I06AA,81
I06AB,24
I01BDA,14.8
I04BDA,14.8
I08FK,180
I01FK,180
I02FK,180
I03FK,180
I07FK,180
I04FK,180
M01AA,81
M01AB,24
M01BDA,29
M01OSO,32
M01OS,0
M01OSE,32
M01RR,37
M01FK,180
M02AA,81
M02AB,24
M02BDA,29
M02OSO,29
M02OS,0
M02OSE,29
M02RS,33
N01FK,180
P01AA,81
P01AB,24
P02BDA,29
P03BDA,29
P04BDA,29
P05BDA,29
P06FK,180
P02FK,180
P03FK,0
P04FK,0
P05FK,0
P08DK,180
P08EK,180
PBD19I,0
P08OS,29
P08RS,37
P08RR,0
P09AA,81
P10BDA,29
P11BDA,46
P12BDA,46
P13BDA,46
P15DK,180
P14DK,180
P14EK,180
PBKNI,0
R04AB,24
R04BDA,14.8
R01AA,81
R01AB,24
R01BDA,29
R02FK,180
R03FK,180
R06AA,81
R06FK,180
R07BG,14.8
R08AA,81
R08AB,24
R08BDA,29
R08OSC,17.4
R08PSC,0
ROGN1I,0
R08OSD,17.4
R08PSD,0
ROGN2I,0
R08QS,71
R08RSO,0
R08RSC,25
R08ORS,25
R08RSD,0
R08ORT,29
R08RT,0
T01OSC,17.4
T01PSC,0
TGN1I,0
T01OSD,17.4
T01PSD,0
TGN2I,0
T01QSO,71
T01QS,0
T01ORS,25
T01RSC,0
T01RTD,25
T01RT,25
T01RX,25
T01SSO,47
T01SS,47
T01SX,47
T01VSO,47
T01VS,0
TGMA2,47
TGMA3,25
V01AA,81
V01AB,24
V01BDA,29
V01DK,180
V01EK,180
VZVDNI,0
V01OSO,29
V01OS,0
V01OSE,29
V01RSO,33
V01RS,33
H22VOR,23
H22VSR,0
H22VIR,0
H22VOC,23
H22VSC,0
H22VIC,0
H22ROR,23
H22RSR,0
H22RIR,0
H22ROC,23
H22RSC,0
H22FO,0
H22FK,180
H24BOR,20
H24BER,0
H24BIR,0
H24BOC,20
H24BEC,0
H24BIC,0
H24TOR,0
H24THR,24
H24TOC,0
H24THC,24
H24POR,20
H24PSR,0
H24PIR,0
H24POC,20
H24PSC,0
H24PIC,0
H25POR,20
H25PSR,0
H25PIR,0
H25POC,20
H25PSC,0
H25PIC,0
H25ROR,0
H25RSR,23
H25ROC,0
H25RSC,23
H26BOR,0
H26BER,0
H26BOC,0
H26BEC,23
H26OOR,0
H26OSR,23
H26OOC,0
H26OSC,23
H23EO,195
H23EK,0
H23EI,0
H28BOR,0
H28BER,29
H28VOR,0
H28VSR,29
H28ROR,0
H28RSR,0
H27UOR,25
H27USR,0
H27UIR,0
H27VOR,25
H27VSR,0
H27VIR,0
H27VOC,25
H27VSC,0
H27VIC,0
H27GO,180
H27GK,0
H27GI,0
H27KO,0
H27KK,180
H29VSR,0
VARNZR,0
WARTEN,0
PMO,0
ZMO,0
CTEST1,33
HTESOC,180
HTESPC,0
HTPN1I,0
HTEGOO,0
HTEGKO,0
HTEGIO,0
HTONL,0
HTNOR,0
HTINT,0
HIVPLM,0
MELDEN,0
A01DKS,195
B01DKS,0
C02FKS,0
E08FKS,180
I04FKS,180
I08FKS,180
M03FKS,0
P01FKS,180
P07FKS,0
R01FKS,180
R06FKS,180
X01FKS,0
C19OST,25
C19QOT,33
C19OR,25
H06OST,20
H10OST,29
R08OST,17.4
R08OR,25
T01OST,17.4
T01QOS,71
T01OR,25
H22OST,23
H22OR,23
H24OET,17.4
H24OBQ,20
H24OHT,24
H24OST,20
H25OR,23
H26OET,23
H26OT,23
H27OST,25
C19OST,25
C19PST,0
C19IST,0
C19QOT,33
C19QST,0
C19OR,25
C19RST,0
H06OST,20
H06UST,0
H10OST,29
H10VST,0
R08OST,17.4
R08PST,0
R08IST,0
R08OR,25
R08RST,0
T01OST,17.4
T01PST,0
T01IST,0
T01QOS,71
T01QST,0
T01OR,25
T01RST,0
H22OST,15.2
H22VST,0
H22OR,23
H22RST,0
H24BQT,0
H24OBQ,20
H24IBQ,0
H24OHT,24
H24THT,0
H24OST,20
H24PST,0
H24IST,0
H25OST,15.2
H25PST,0
H25OR,23
H25RST,0
H26OET,23
H26BET,0
H26OT,23
H26OST,0
H27OST,17.4
H27VST,0
M01OOS,42
V01OOS,42
V01OSL,29
M01OSL,32
H27HLN,180
H27OU,66
H27OU1,0
H27OU2,0
H27OU3,0
H27OU4,0
H27OU5,0
H27OU6,0
H03RSO,33
E12POT,29
E12ROT,33
E12OOT,29
H06OBD,47
H14DK,180
H27HLO,0
H27HLP,0
H27HLQ,0
C05FK,180
D01FK,180
D01PSO,42
D01PS,0
D01PSI,0
D01RSO,33
D01RS,0
D01RSI,0
Z01FK,180
Z01PSO,42
Z01PS,0
Z01PSI,0
Z01RSO,33
Z01RS,0
Z01RSI,0
A00AAA,74
D01OR,42
D01RR,33
I08FKP,180
I04FKP,180
R01FKP,180
D01BQO,42
F01OSE,29
X01FKS,697
F01OSO,29
F01RSO,33
H07GKP,180
F01RSE,33
H27GOA,180
A01DPU,195
R09FPU,180
I08FPU,180
I04FPU,180
P02FPU,180
R02FPU,180
X02FPU,0
C03FPU,0
C20FPU,0
C04FPU,0
C05FPU,0
C21FPU,0
B01DPU,0
M03FPU,0
I09FPU,180
I07FPU,180
I10FPU,180
P03FPU,0
P04FPU,0
P05FPU,0
R03FPU,180
B02DPU,0
C22DPU,0
L01DPU,0
M06DPU,0
A01DKN,195
N01FKN,180
A02FKN,0
S01FKN,0
R07FKN,180
N01FKP,180
P14EK0,180
D01BQI,0
F01FK,180
C01OS,42
C01OSO,42
C01RS,33
C01RSO,33
W01OS,42
W01OSO,42
W01RS,33
W01RSO,33
C01FK,180
I10FK,180
C21FK,180
C31FK,180
STUAQP,0
STUAQZ,0